,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
9043,Roadtrip___Dream,2022-06-08 19:39,Dream,Roadtrip,52411,2022-06-08 19:39:00,0.459,0.581,10,-6.575,1,0.0713,0.316,0.0,0.124,0.49,176.195,audio_features,4Agtk2MrapdZAVN7v6PuFO,spotify:track:4Agtk2MrapdZAVN7v6PuFO,https://api.spotify.com/v1/tracks/4Agtk2MrapdZAVN7v6PuFO,https://api.spotify.com/v1/audio-analysis/4Agtk2MrapdZAVN7v6PuFO,133661,4,Roadtrip,4nndDRqggBACyN5dw13kDI
9044,Toxic___BoyWithUke,2022-06-08 19:42,BoyWithUke,Toxic,168066,2022-06-08 19:42:00,0.609,0.619,11,-5.677,1,0.311,0.749,0.0,0.264,0.689,179.71,audio_features,3M214U0mwSm041GsQR3nrO,spotify:track:3M214U0mwSm041GsQR3nrO,https://api.spotify.com/v1/tracks/3M214U0mwSm041GsQR3nrO,https://api.spotify.com/v1/audio-analysis/3M214U0mwSm041GsQR3nrO,168067,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9045,IDGAF (with blackbear)___BoyWithUke,2022-06-08 19:44,BoyWithUke,IDGAF (with blackbear),140666,2022-06-08 19:44:00,0.783,0.75,5,-5.762,1,0.078,0.426,0.0,0.241,0.88,97.953,audio_features,6Jrdb6CFOJEGaHjaa6c4WR,spotify:track:6Jrdb6CFOJEGaHjaa6c4WR,https://api.spotify.com/v1/tracks/6Jrdb6CFOJEGaHjaa6c4WR,https://api.spotify.com/v1/audio-analysis/6Jrdb6CFOJEGaHjaa6c4WR,140665,4,IDGAF,3XEOlBcb076IIUTSr98AMu
9046,Understand___BoyWithUke,2022-06-08 19:47,BoyWithUke,Understand,171946,2022-06-08 19:47:00,0.828,0.658,6,-6.19,0,0.14,0.81,1.06e-06,0.277,0.917,103.051,audio_features,6dGqGkYDoRrKh5UiIcTT22,spotify:track:6dGqGkYDoRrKh5UiIcTT22,https://api.spotify.com/v1/tracks/6dGqGkYDoRrKh5UiIcTT22,https://api.spotify.com/v1/audio-analysis/6dGqGkYDoRrKh5UiIcTT22,171947,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9047,Two Moons___BoyWithUke,2022-06-08 19:51,BoyWithUke,Two Moons,224747,2022-06-08 19:51:00,0.841,0.502,6,-9.068,0,0.211,0.52,0.000187,0.103,0.863,109.965,audio_features,5GxUKIEkMXXZo1Tif0IzfC,spotify:track:5GxUKIEkMXXZo1Tif0IzfC,https://api.spotify.com/v1/tracks/5GxUKIEkMXXZo1Tif0IzfC,https://api.spotify.com/v1/audio-analysis/5GxUKIEkMXXZo1Tif0IzfC,224747,4,Fever Dreams,0NzheutoSuzfMlENTnHTQl
9048,Long Drives___BoyWithUke,2022-06-08 19:54,BoyWithUke,Long Drives,159933,2022-06-08 19:54:00,0.854,0.667,1,-7.04,1,0.111,0.513,3.21e-05,0.119,0.986,130.021,audio_features,1APefTkgjjwQfZbUWQkOFc,spotify:track:1APefTkgjjwQfZbUWQkOFc,https://api.spotify.com/v1/tracks/1APefTkgjjwQfZbUWQkOFc,https://api.spotify.com/v1/audio-analysis/1APefTkgjjwQfZbUWQkOFc,159933,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9049,LoveSick___BoyWithUke,2022-06-08 19:56,BoyWithUke,LoveSick,146153,2022-06-08 19:56:00,0.864,0.535,9,-8.959,1,0.257,0.794,0.0,0.113,0.842,112.491,audio_features,1zS5TccQwMDp5ZsEnt4FAh,spotify:track:1zS5TccQwMDp5ZsEnt4FAh,https://api.spotify.com/v1/tracks/1zS5TccQwMDp5ZsEnt4FAh,https://api.spotify.com/v1/audio-analysis/1zS5TccQwMDp5ZsEnt4FAh,146153,4,Faded,3PDjhTtjrjMLcNXjnfykz7
9050,Heart of Ice___BoyWithUke,2022-06-08 19:59,BoyWithUke,Heart of Ice,189466,2022-06-08 19:59:00,0.766,0.5,8,-6.858,0,0.119,0.629,0.0,0.113,0.916,112.509,audio_features,0wIxgiUk2S1hrwLr5Y0PIt,spotify:track:0wIxgiUk2S1hrwLr5Y0PIt,https://api.spotify.com/v1/tracks/0wIxgiUk2S1hrwLr5Y0PIt,https://api.spotify.com/v1/audio-analysis/0wIxgiUk2S1hrwLr5Y0PIt,189467,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9051,Prairies (with mxmtoon)___BoyWithUke,2022-06-08 20:03,BoyWithUke,Prairies (with mxmtoon),191973,2022-06-08 20:03:00,0.717,0.7,1,-5.843,0,0.0382,0.189,0.0,0.374,0.568,103.517,audio_features,7w2iqaRxQgAGnkOdMhsiqu,spotify:track:7w2iqaRxQgAGnkOdMhsiqu,https://api.spotify.com/v1/tracks/7w2iqaRxQgAGnkOdMhsiqu,https://api.spotify.com/v1/audio-analysis/7w2iqaRxQgAGnkOdMhsiqu,191973,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9052,Loafers___BoyWithUke,2022-06-08 20:06,BoyWithUke,Loafers,215394,2022-06-08 20:06:00,0.652,0.649,1,-9.143,1,0.335,0.544,0.0,0.118,0.557,100.465,audio_features,0jcPxc7Fme2oYb2MfFkOy6,spotify:track:0jcPxc7Fme2oYb2MfFkOy6,https://api.spotify.com/v1/tracks/0jcPxc7Fme2oYb2MfFkOy6,https://api.spotify.com/v1/audio-analysis/0jcPxc7Fme2oYb2MfFkOy6,215394,4,Faded,3PDjhTtjrjMLcNXjnfykz7
9053,She Said No___BoyWithUke,2022-06-08 20:09,BoyWithUke,She Said No,154200,2022-06-08 20:09:00,0.786,0.553,8,-6.81,0,0.176,0.879,0.0,0.138,0.815,98.061,audio_features,7k5b0qVGM007o03HAMYY7p,spotify:track:7k5b0qVGM007o03HAMYY7p,https://api.spotify.com/v1/tracks/7k5b0qVGM007o03HAMYY7p,https://api.spotify.com/v1/audio-analysis/7k5b0qVGM007o03HAMYY7p,154200,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9054,Far Away___BoyWithUke,2022-06-08 20:11,BoyWithUke,Far Away,144840,2022-06-08 20:11:00,0.684,0.384,0,-9.556,1,0.427,0.802,0.0,0.183,0.905,87.37,audio_features,6d9tQk2l8UPqiwkf9ZUp6L,spotify:track:6d9tQk2l8UPqiwkf9ZUp6L,https://api.spotify.com/v1/tracks/6d9tQk2l8UPqiwkf9ZUp6L,https://api.spotify.com/v1/audio-analysis/6d9tQk2l8UPqiwkf9ZUp6L,144840,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9055,Long Drives___BoyWithUke,2022-06-08 20:14,BoyWithUke,Long Drives,159933,2022-06-08 20:14:00,0.854,0.667,1,-7.04,1,0.111,0.513,3.21e-05,0.119,0.986,130.021,audio_features,1APefTkgjjwQfZbUWQkOFc,spotify:track:1APefTkgjjwQfZbUWQkOFc,https://api.spotify.com/v1/tracks/1APefTkgjjwQfZbUWQkOFc,https://api.spotify.com/v1/audio-analysis/1APefTkgjjwQfZbUWQkOFc,159933,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9056,Let Me Down___BoyWithUke,2022-06-08 20:59,BoyWithUke,Let Me Down,184053,2022-06-08 20:59:00,0.818,0.47,8,-10.685,0,0.264,0.56,0.0,0.527,0.848,97.535,audio_features,4bAKBlxMI0eNoy1aNonUrV,spotify:track:4bAKBlxMI0eNoy1aNonUrV,https://api.spotify.com/v1/tracks/4bAKBlxMI0eNoy1aNonUrV,https://api.spotify.com/v1/audio-analysis/4bAKBlxMI0eNoy1aNonUrV,184053,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9057,Prairies (with mxmtoon)___BoyWithUke,2022-06-08 21:02,BoyWithUke,Prairies (with mxmtoon),191973,2022-06-08 21:02:00,0.717,0.7,1,-5.843,0,0.0382,0.189,0.0,0.374,0.568,103.517,audio_features,7w2iqaRxQgAGnkOdMhsiqu,spotify:track:7w2iqaRxQgAGnkOdMhsiqu,https://api.spotify.com/v1/tracks/7w2iqaRxQgAGnkOdMhsiqu,https://api.spotify.com/v1/audio-analysis/7w2iqaRxQgAGnkOdMhsiqu,191973,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
9058,She Said No___BoyWithUke,2022-06-08 21:05,BoyWithUke,She Said No,154200,2022-06-08 21:05:00,0.786,0.553,8,-6.81,0,0.176,0.879,0.0,0.138,0.815,98.061,audio_features,7k5b0qVGM007o03HAMYY7p,spotify:track:7k5b0qVGM007o03HAMYY7p,https://api.spotify.com/v1/tracks/7k5b0qVGM007o03HAMYY7p,https://api.spotify.com/v1/audio-analysis/7k5b0qVGM007o03HAMYY7p,154200,4,Serotonin Dreams,1I79ZTFJ5FVLwMYRWvhk73
