,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
1094,4 AM in Girona___Taco Hemingway,2022-02-17 23:26,Taco Hemingway,4 AM in Girona,82890,2022-02-17 23:26:00,0.746,0.597,5,-9.352,0,0.0678,0.137,6.41e-06,0.669,0.319,107.02,audio_features,3LpXbJAtSPRY0cWQ8CUdai,spotify:track:3LpXbJAtSPRY0cWQ8CUdai,https://api.spotify.com/v1/tracks/3LpXbJAtSPRY0cWQ8CUdai,https://api.spotify.com/v1/audio-analysis/3LpXbJAtSPRY0cWQ8CUdai,188693,4,Café Belga,6d681ZsSudFljWUiS4wGPY
1095,Wystarczy___LUNA,2022-02-18 15:13,LUNA,Wystarczy,1290,2022-02-18 15:13:00,0.693,0.386,0,-14.616,0,0.0925,0.651,0.417,0.111,0.32,130.028,audio_features,4e2QjUDez7k5z08pJTteTU,spotify:track:4e2QjUDez7k5z08pJTteTU,https://api.spotify.com/v1/tracks/4e2QjUDez7k5z08pJTteTU,https://api.spotify.com/v1/audio-analysis/4e2QjUDez7k5z08pJTteTU,166162,4,Wystarczy,2pNKKYfvKGM02W3xXljZTL
1096,Rozkosz___Julia Wieniawa,2022-02-18 15:13,Julia Wieniawa,Rozkosz,4240,2022-02-18 15:13:00,0.552,0.526,6,-6.617,0,0.0355,0.116,0.0,0.0811,0.139,137.994,audio_features,2lYUcBUAdtVbEutqXmc73b,spotify:track:2lYUcBUAdtVbEutqXmc73b,https://api.spotify.com/v1/tracks/2lYUcBUAdtVbEutqXmc73b,https://api.spotify.com/v1/audio-analysis/2lYUcBUAdtVbEutqXmc73b,243560,4,Rozkosz,7CLBwFgINJR1gZcv9p7JG1
1097,When I R.I.P.___Labrinth,2022-02-18 15:16,Labrinth,When I R.I.P.,174567,2022-02-18 15:16:00,0.417,0.551,8,-6.456,0,0.174,0.73,0.00166,0.0907,0.444,87.614,audio_features,2t16D9V5FmmRAJjsSpwvZf,spotify:track:2t16D9V5FmmRAJjsSpwvZf,https://api.spotify.com/v1/tracks/2t16D9V5FmmRAJjsSpwvZf,https://api.spotify.com/v1/audio-analysis/2t16D9V5FmmRAJjsSpwvZf,174568,4,Euphoria (Original Score from the HBO Series),788r22Bhr3IHLTNPy8pZea
1098,Rozkosz___Julia Wieniawa,2022-02-18 16:37,Julia Wieniawa,Rozkosz,136432,2022-02-18 16:37:00,0.552,0.526,6,-6.617,0,0.0355,0.116,0.0,0.0811,0.139,137.994,audio_features,2lYUcBUAdtVbEutqXmc73b,spotify:track:2lYUcBUAdtVbEutqXmc73b,https://api.spotify.com/v1/tracks/2lYUcBUAdtVbEutqXmc73b,https://api.spotify.com/v1/audio-analysis/2lYUcBUAdtVbEutqXmc73b,243560,4,Rozkosz,7CLBwFgINJR1gZcv9p7JG1
1099,Jetlag (feat. The Plug)___Malik Montana,2022-02-18 17:50,Malik Montana,Jetlag (feat. The Plug),126084,2022-02-18 17:50:00,0.823,0.514,7,-7.109,1,0.333,0.117,0.0,0.506,0.521,124.952,audio_features,2jG3STVcZ9fjYlhXPi7nJ1,spotify:track:2jG3STVcZ9fjYlhXPi7nJ1,https://api.spotify.com/v1/tracks/2jG3STVcZ9fjYlhXPi7nJ1,https://api.spotify.com/v1/audio-analysis/2jG3STVcZ9fjYlhXPi7nJ1,126085,4,Jetlag (feat. The Plug),7asDfD691s6DPhNyKuPyaT
1100,Enemy (with JID) - from the series Arcane League of Legends___Imagine Dragons,2022-02-18 17:58,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381,2022-02-18 17:58:00,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4,Enemy (with JID) [from the series Arcane League of Legends],1bTgKomQYSkKYPD9UI9W4b
1101,Proste fakty___SB Maffija,2022-02-18 17:59,SB Maffija,Proste fakty,40710,2022-02-18 17:59:00,0.718,0.71,9,-5.454,1,0.191,0.284,0.0,0.147,0.792,144.059,audio_features,6IVFyySW33VfordEuGDPHk,spotify:track:6IVFyySW33VfordEuGDPHk,https://api.spotify.com/v1/tracks/6IVFyySW33VfordEuGDPHk,https://api.spotify.com/v1/audio-analysis/6IVFyySW33VfordEuGDPHk,218828,4,Proste fakty,3mhety6h2PwjicU8mey7a6
1102,Heat Waves___Glass Animals,2022-02-18 18:05,Glass Animals,Heat Waves,960,2022-02-18 18:05:00,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,Dreamland,5bfpRtBW7RNRdsm3tRyl3R
1103,Harnaś ice tea___Gawryle,2022-02-18 18:05,Gawryle,Harnaś ice tea,7643,2022-02-18 18:05:00,0.812,0.71,7,-4.022,0,0.0572,0.584,0.0,0.0611,0.963,115.04,audio_features,32IErAbP0G4WcnpqHpMd35,spotify:track:32IErAbP0G4WcnpqHpMd35,https://api.spotify.com/v1/tracks/32IErAbP0G4WcnpqHpMd35,https://api.spotify.com/v1/audio-analysis/32IErAbP0G4WcnpqHpMd35,176351,4,Harnaś ice tea,4hJjMqRyISzXiAd2eMS2tw
